pipe_id,material,installation_year,age_years,soil_type,soil_corrosivity,ph,chloride_mg_l,temperature_c,pressure_bar,flow_m3_day,repair_count_5y,leak_reports_3y,last_inspection,coating_condition,cathodic_protection,zone,latitude,longitude
PIPE-001,Cast Iron,1972,54,Clay,82,6.4,245,24,9.5,860,4,3,2026-08-01,Poor,None,North,18.5310,73.8440
PIPE-002,HDPE,2018,8,Sandy,28,7.3,72,23,5.2,620,0,0,2026-08-03,Excellent,Active,East,18.5204,73.8567
PIPE-003,Ductile Iron,1995,31,Loam,64,6.8,180,25,8.1,910,2,1,2026-08-05,Fair,Monitored,West,18.5074,73.8077
PIPE-004,Steel,1987,39,Clay,76,7.8,260,26,10.2,1120,3,2,2026-08-07,Fair,Inactive,South,18.4872,73.8150
PIPE-005,PVC,2021,5,Sandy,20,7.5,48,22,4.6,480,0,0,2026-08-08,Excellent,Active,North,18.5451,73.8067
PIPE-006,Cast Iron,1968,58,Clay,91,6.1,310,25,8.8,740,5,4,2026-08-10,Poor,None,East,18.5289,73.8744
PIPE-007,Ductile Iron,2008,18,Loam,52,7.0,125,24,6.8,980,1,1,2026-08-11,Good,Active,West,18.5193,73.8558
PIPE-008,Asbestos Cement,1981,45,Clay,79,6.5,215,23,7.7,530,3,2,2026-08-12,Poor,Inactive,South,18.5066,73.8460
PIPE-009,HDPE,2015,11,Sandy,24,7.6,61,22,5.8,700,0,0,2026-08-13,Excellent,Active,North,18.5091,73.8315
PIPE-010,Steel,2001,25,Loam,59,7.9,205,27,9.0,1030,2,1,2026-08-14,Fair,Monitored,East,18.5362,73.8958
PIPE-011,Cast Iron,1979,47,Clay,73,6.7,190,24,8.4,650,3,2,2026-08-15,Poor,None,West,18.5018,73.8237
PIPE-012,PVC,2012,14,Sandy,31,7.2,82,23,5.5,560,1,0,2026-08-16,Good,Active,South,18.5102,73.8569
PIPE-013,Ductile Iron,1990,36,Loam,68,6.3,230,26,8.9,890,2,2,2026-08-17,Fair,Monitored,North,18.5246,73.8612
PIPE-014,Steel,1975,51,Clay,86,8.1,290,28,10.5,1180,4,3,2026-08-18,Poor,None,East,18.5321,73.8510
PIPE-015,HDPE,2023,3,Sandy,17,7.4,42,21,4.1,430,0,0,2026-08-19,Excellent,Active,West,18.5013,73.8532
PIPE-016,Asbestos Cement,1989,37,Clay,71,6.6,205,25,7.9,610,2,1,2026-08-20,Fair,Inactive,South,18.5208,73.8560
PIPE-017,PVC,2006,20,Loam,48,7.1,110,24,6.2,590,1,0,2026-08-21,Good,Active,North,18.5285,73.8742
PIPE-018,Cast Iron,1962,64,Clay,95,5.9,360,29,11.2,1210,6,5,2026-08-22,Poor,None,East,18.5070,73.8070
PIPE-019,Ductile Iron,2010,16,Sandy,35,7.0,96,23,6.4,820,1,0,2026-08-23,Good,Active,West,18.5450,73.8062
PIPE-020,Steel,1998,28,Loam,62,7.7,170,26,8.6,1010,2,1,2026-08-24,Fair,Monitored,South,18.5240,73.8610
